Method,Plant Type,Equipment,Equipment Type,Sizing Quantity,Units,S lower,S upper,a,b,n,Installation Factor,Material Factor,Equipment Erection Factor,Piping Factor,Instrumentation and Control Factor,Electrical Factor,Civil Factor,Structures and Buildings Factor,Lagging and Paint Factor,ISBL Cost Factor,Offsites Factor,Design and Engineering Factor,Contingency,Location Factor
material factors,solid,Agitators and Mixers,Propeller ,driver power,kW,5,75,17000,1130,1.05,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Agitators and Mixers,Spiral ribbon mixer,driver power,kW,5,35,30800,125,2,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Agitators and Mixers,Static mixer,flowrate,liters/s,1,50,570,1170,0.4,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Boilers,"Packaged, 15 to 40 bar",steam mass flowrate,kg/h ,5000,200000,124000,10,1,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Boilers,"Field erected, 10 to 70 bar",steam mass flowrate,kg/h ,20000,800000,130000,53,0.9,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Centrifuges,High-speed disk,diameter,m,0.26,0.49,57000,480000,0.7,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Centrifuges,Atmospheric suspended basket,power,kW,2,20,65000,750,1.5,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Compressors,Blower,flowrate,m³/h,200,5000,4450,57,0.8,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Compressors,Centrifugal,driver power,kW,75,30000,580000,20000,0.6,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Compressors,Reciprocating,driver power,kW,93,16800,260000,2700,0.75,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Conveyors,"Belt, 0.5 m wide",length,m,10,500,41000,730,1,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Conveyors,"Belt, 1.0 m wide",length,m,10,500,46000,1320,1,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Conveyors,"Bucket elevator, 0.5 m bucket",height,m,10,30,17000,2600,1,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
material factors,solid,Crushers,Reversible hammer mill,mass flowrate,t/h,30,400,68400,730,1,,1,0.6,0.2,0.2,0.15,0.2,0.1,0.05,2.5,0.4,0.2,0.1,1.07
